I1,I2,I3,R1,R2,R3
10,16,16,9,12,3
20,34,40,51,57,12
883,1020,1217,87,219,34
23,18,20,45,28,11
158,148,151,115,125,36
0,4,2,4,8,3
114,132,159,119,172,44
23,31,18,28,28,9
158,189,197,153,289,65
1,2,3,0,1,0
119,123,127,126,159,52
621,723,640,450,562,177
1,2,7,2,2,0
1079,1190,1337,1214,1704,445
42,54,68,55,81,15
2,1,3,4,6,2
4,5,1,3,4,1
9,5,9,2,10,2
0,2,0,2,4,0
143,192,149,205,222,75
6,7,10,11,10,1
5,7,14,3,16,3
1,7,5,2,1,1
274,312,332,257,335,98
0,0,0,0,0,0
0,4,2,0,3,0
33,39,71,58,73,14
5721,5587,6606,5900,8119,2445
22,31,21,21,17,6
3,7,11,4,5,3
325,385,556,383,591,169
187,191,320,275,394,78
79,88,103,73,83,45
34,44,41,71,74,26
8,10,7,3,8,1
1,2,4,8,9,0
0,4,0,2,3,0
11,7,14,17,25,1
0,0,0,0,0,0
15,22,19,17,14,10
61,79,73,44,65,12
26,22,40,28,39,15
64,50,56,79,106,26
71,120,131,91,123,36
50,46,59,79,94,25
114,126,139,143,206,58
26,23,15,194,314,91
174,208,257,147,287,79
11,14,10,3,14,4
17,16,19,17,12,6
44,42,45,42,67,15
790,1042,1100,916,1192,392
0,0,1,1,0,0
13247,12785,14263,10596,13493,4743
13,11,11,7,16,3
152,171,186,222,250,98
2,2,2,1,2,0
0,0,0,0,0,0
3673,4113,4236,3167,4005,1274
11,4,13,7,14,8
962,1167,1075,809,1113,363
437,547,653,368,636,144
5,9,5,8,9,6
32,35,27,61,89,20
1091,1172,1313,1317,2082,531
245,352,383,298,452,110
597,663,621,562,665,204
186,195,213,188,286,106
26,47,37,42,39,10
46,50,65,55,60,29
2142,1747,2153,1684,2289,727
175,181,269,206,263,65
7,9,9,6,18,4
10,16,11,11,8,7
0,1,0,0,0,0
70,121,189,99,195,49
7,7,7,15,15,7
0,1,0,0,0,0
80,136,182,128,202,45
0,0,0,0,1,0
11,9,14,14,22,5
352,392,388,293,417,131
3,3,6,1,5,0
10,12,10,11,15,3
0,0,0,0,1,0
5,2,2,0,2,0
7,3,5,1,4,1
2,1,2,2,5,3
23,21,31,14,14,10
57,59,70,19,41,6
7331,10065,9334,9747,12862,3828
9,11,4,9,6,1
7,12,12,9,7,3
101,119,130,173,209,74
17,18,8,18,21,8
4,12,11,3,2,3
15,16,26,19,27,12
215,264,326,295,351,94
991,1121,1128,940,1276,424
2,1,0,1,0,0
54,53,47,62,52,15
33,57,60,41,74,22
380,452,361,295,330,132
9,8,10,10,7,2
147,156,162,113,206,53
96,114,131,111,145,41
6,6,6,3,6,1
3,11,4,5,10,6
247,250,266,277,287,114
754,827,1066,768,1163,304
151,160,128,155,184,61
23,39,28,31,44,19
1,1,1,2,1,0
21,18,17,21,36,6
278,242,327,243,358,106
25910,25726,25684,20917,23861,8985
133,207,263,221,313,70
23,19,23,16,24,8
280,360,360,297,394,134
